Age,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,OverTime,DistanceFromHome,NumCompaniesWorked,EnvironmentSatisfaction,JobInvolvement,PerformanceRating,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,Education,Department,JobRole,MaritalStatus,EducationField,Gender,BusinessTravel,StockOptionLevel,Attrition
33,2516,3,2,25,1,16,0,1,2,2,11,13,0,3,R&D,Healthcare Rep,Married,Marketing,Male,Travel_Rarely,0,0
46,4659,3,4,24,0,7,7,1,4,1,5,14,5,2,R&D,Healthcare Rep,Married,Tech Degree,Male,Non-Travel,2,0
20,4553,1,3,28,1,17,5,2,4,1,12,7,2,2,R&D,Sales Exec,Married,HR,Male,Travel_Rarely,3,0
37,7874,4,3,18,0,19,1,1,3,2,5,2,2,3,R&D,Research Sci,Married,HR,Female,Travel_Rarely,3,0
53,5321,3,1,32,0,29,7,3,2,2,14,16,1,1,R&D,Research Sci,Married,Life Sci,Female,Travel_Rarely,1,0
36,20000,4,4,35,1,19,5,1,4,4,4,6,0,4,Sales,Lab Tech,Divorced,HR,Female,Travel_Rarely,1,0
43,1669,1,1,13,0,17,6,1,2,1,14,12,3,5,R&D,Sales Rep,Married,Marketing,Male,Travel_Rarely,1,0
20,2224,3,3,13,1,6,0,4,4,2,1,15,6,2,HR,Manager,Divorced,HR,Female,Travel_Rarely,0,0
36,2421,1,1,34,0,29,6,4,4,2,1,4,5,3,R&D,Healthcare Rep,Divorced,Tech Degree,Male,Travel_Rarely,2,0
37,3135,4,3,29,0,11,2,2,1,4,8,3,2,1,R&D,Healthcare Rep,Single,Tech Degree,Male,Non-Travel,0,0
49,9039,4,3,27,0,16,7,2,2,3,4,9,2,2,Sales,Lab Tech,Married,Marketing,Female,Travel_Rarely,3,0
24,1344,1,1,16,1,25,5,4,2,2,4,12,2,1,HR,Manager,Married,Marketing,Male,Travel_Rarely,1,1
58,7480,2,1,2,0,8,3,3,4,2,6,9,2,2,Sales,Research Sci,Married,Marketing,Female,Non-Travel,3,0
50,2598,3,2,15,1,11,7,1,2,1,5,13,4,3,R&D,HR,Married,HR,Male,Travel_Rarely,2,0
57,4604,4,2,29,0,7,8,3,4,4,1,11,1,1,HR,Sales Exec,Divorced,HR,Male,Travel_Rarely,2,0
56,5005,4,2,28,0,26,9,3,2,1,10,0,3,3,R&D,Healthcare Rep,Single,Medical,Male,Non-Travel,0,0
35,2332,3,3,14,0,24,1,4,1,3,0,6,5,1,R&D,Healthcare Rep,Single,Other,Male,Travel_Rarely,0,0
57,3593,1,1,24,0,22,5,2,2,4,4,8,5,2,R&D,HR,Single,Other,Male,Non-Travel,1,1
18,2663,1,4,37,0,25,4,1,1,1,3,7,5,5,Sales,Director,Married,Life Sci,Female,Travel_Frequently,1,0
28,1000,1,3,37,1,19,4,2,3,2,11,12,3,5,R&D,Manager,Married,HR,Female,Travel_Rarely,3,0
45,2873,2,4,22,0,26,9,3,2,2,2,13,1,4,Sales,Lab Tech,Married,Medical,Female,Travel_Rarely,1,0
42,1000,2,1,24,0,10,2,3,2,4,1,11,0,4,R&D,Lab Tech,Married,Medical,Female,Non-Travel,1,0
40,2596,4,3,6,0,9,7,2,2,2,9,7,6,3,Sales,Mfg Dir,Single,Tech Degree,Male,Travel_Rarely,3,1
48,4493,1,4,21,0,4,7,2,1,1,1,15,6,1,HR,Sales Exec,Single,HR,Male,Travel_Rarely,2,0
47,4330,3,4,16,0,23,4,4,2,4,13,10,1,4,Sales,Manager,Married,Medical,Female,Travel_Rarely,1,0
59,5432,4,2,17,0,15,7,2,2,2,14,15,2,2,R&D,Healthcare Rep,Married,Tech Degree,Female,Travel_Rarely,1,0
52,1000,3,2,9,0,13,9,2,4,2,3,13,6,5,R&D,Director,Married,Life Sci,Male,Travel_Rarely,3,0
24,5279,4,2,9,0,25,7,4,3,3,1,2,2,1,R&D,HR,Divorced,Tech Degree,Female,Travel_Frequently,3,0
33,1870,2,3,6,0,2,2,2,1,3,3,1,1,5,R&D,Mfg Dir,Divorced,Life Sci,Male,Travel_Rarely,3,0
43,2546,4,1,37,0,2,1,3,4,4,2,2,1,1,R&D,Sales Exec,Single,Other,Male,Travel_Rarely,3,0
19,9759,2,1,26,0,16,8,2,1,3,8,3,3,4,R&D,Sales Exec,Married,Other,Female,Travel_Rarely,3,0
18,1000,4,2,32,0,9,1,1,4,1,6,4,3,4,R&D,Sales Rep,Married,Marketing,Male,Travel_Frequently,1,0
29,4438,1,2,0,0,28,8,3,3,2,13,9,4,3,R&D,Manager,Married,Marketing,Male,Travel_Rarely,0,1
22,4565,3,2,33,1,13,3,4,4,2,12,1,5,1,R&D,Director,Divorced,Tech Degree,Female,Non-Travel,0,0
54,2526,1,4,3,1,3,1,3,1,2,10,11,4,2,Sales,Research Sci,Single,Marketing,Female,Travel_Rarely,0,0
49,1352,4,2,16,0,9,9,4,2,4,14,4,5,4,HR,HR,Single,HR,Male,Travel_Rarely,1,0
26,1337,4,4,3,0,13,0,1,2,4,11,4,2,3,R&D,Mfg Dir,Married,Tech Degree,Female,Travel_Rarely,2,0
58,10758,4,1,25,1,21,3,1,3,3,2,0,4,4,Sales,Healthcare Rep,Married,Medical,Male,Travel_Frequently,1,0
52,2917,2,3,3,1,22,8,3,1,2,12,3,4,5,R&D,Lab Tech,Single,HR,Female,Travel_Rarely,0,0
36,2009,3,3,0,1,2,8,2,1,2,14,11,0,4,HR,Mfg Dir,Single,Tech Degree,Male,Travel_Rarely,0,0
33,2978,3,3,6,0,8,3,3,1,2,13,11,1,1,Sales,Sales Exec,Married,Other,Male,Travel_Rarely,3,0
20,5534,4,3,29,0,27,8,3,3,2,7,15,3,3,R&D,Healthcare Rep,Single,Life Sci,Male,Travel_Rarely,3,0
37,1000,4,4,8,1,9,5,1,2,2,8,16,4,1,R&D,HR,Single,Marketing,Male,Travel_Rarely,3,0
41,2984,2,4,34,0,16,0,4,4,1,12,9,3,2,Sales,Director,Single,Marketing,Male,Travel_Rarely,1,1
50,4432,1,2,7,0,2,9,3,3,2,6,16,5,2,R&D,Research Sci,Single,Marketing,Male,Travel_Rarely,2,0
41,14838,1,4,23,0,6,5,2,4,1,5,16,4,4,R&D,Healthcare Rep,Married,Tech Degree,Male,Travel_Rarely,2,0
28,1455,3,2,18,0,22,8,1,2,2,3,1,5,3,Sales,Healthcare Rep,Married,HR,Male,Non-Travel,3,0
25,2225,2,2,35,0,8,1,3,3,4,4,3,4,3,R&D,Sales Exec,Single,Life Sci,Male,Travel_Rarely,2,0
53,2385,4,3,26,0,26,5,3,2,4,7,10,6,3,R&D,Manager,Single,Marketing,Female,Travel_Rarely,0,0
55,4651,3,4,31,0,28,1,2,4,1,2,16,2,3,HR,Sales Exec,Single,HR,Male,Travel_Rarely,0,0
57,2205,2,4,13,0,5,3,3,1,2,1,11,0,4,R&D,Mfg Dir,Married,Medical,Female,Travel_Rarely,3,0
37,3812,1,2,17,0,9,7,3,1,4,2,1,5,1,R&D,Research Sci,Single,Other,Female,Non-Travel,3,0
52,7611,2,2,27,0,1,6,3,4,4,11,5,1,4,R&D,Lab Tech,Married,Medical,Female,Travel_Frequently,3,0
42,6110,1,1,28,0,9,8,3,1,2,6,8,1,1,Sales,Mfg Dir,Single,Life Sci,Male,Travel_Rarely,2,0
52,2956,2,1,15,0,10,6,2,4,2,7,4,2,5,R&D,Research Sci,Single,Marketing,Male,Travel_Rarely,1,0
42,9983,3,2,34,1,23,0,3,3,4,0,8,2,5,R&D,Director,Single,Medical,Female,Travel_Rarely,3,0
46,4083,1,1,30,0,4,1,3,3,2,12,7,6,1,Sales,Sales Exec,Single,Other,Male,Travel_Rarely,2,0
35,3881,3,1,3,0,3,5,3,3,3,6,7,1,4,R&D,Research Sci,Married,HR,Male,Travel_Rarely,3,0
35,1000,3,2,36,0,10,6,1,1,2,8,5,5,2,Sales,Manager,Married,HR,Male,Non-Travel,1,0
19,20000,1,2,16,1,15,2,2,2,4,11,2,1,4,R&D,Sales Rep,Divorced,Medical,Male,Travel_Rarely,3,0
52,1000,1,4,38,0,11,8,1,1,4,12,4,0,2,R&D,Lab Tech,Single,Marketing,Male,Travel_Rarely,0,0
33,1314,4,2,25,0,14,6,1,1,1,13,8,4,4,HR,Director,Single,Other,Male,Travel_Rarely,3,0
58,1000,4,2,38,0,6,5,2,2,3,13,6,0,3,Sales,Healthcare Rep,Single,Life Sci,Female,Travel_Rarely,0,0
53,5108,4,3,3,0,12,5,1,2,4,14,3,6,3,R&D,Sales Exec,Married,Marketing,Female,Travel_Rarely,0,0
50,1272,3,4,29,1,13,0,1,2,3,2,6,6,5,Sales,Mfg Dir,Single,Tech Degree,Female,Travel_Frequently,2,0
21,1000,3,4,29,1,17,4,1,2,2,14,4,1,5,R&D,Sales Rep,Married,Medical,Female,Travel_Frequently,2,1
50,1000,4,4,21,0,16,9,2,1,4,2,10,4,1,R&D,Sales Exec,Single,Tech Degree,Female,Travel_Rarely,0,0
31,1000,3,3,10,0,3,2,3,4,1,7,14,1,2,R&D,HR,Single,Medical,Male,Travel_Rarely,0,0
38,4393,3,2,1,0,2,6,4,3,4,3,1,0,3,R&D,Sales Exec,Divorced,Life Sci,Male,Travel_Frequently,3,0
37,5827,1,4,11,0,11,9,4,4,1,13,12,0,4,HR,HR,Married,Marketing,Male,Travel_Rarely,3,0
25,2532,1,4,29,0,29,2,2,1,3,7,15,5,1,Sales,Healthcare Rep,Divorced,Other,Female,Non-Travel,0,0
24,3268,3,1,35,0,9,4,4,2,1,4,6,5,4,R&D,Director,Married,Marketing,Female,Travel_Rarely,2,0
20,5791,4,4,17,0,3,6,2,3,2,13,7,0,3,R&D,Lab Tech,Married,Medical,Male,Non-Travel,3,0
34,1000,2,2,25,0,29,2,2,3,2,2,5,4,3,R&D,Sales Exec,Single,HR,Female,Travel_Frequently,3,0
50,1951,4,2,6,1,18,9,4,4,2,14,6,6,3,Sales,Healthcare Rep,Married,Tech Degree,Male,Non-Travel,3,0
29,18077,2,1,0,0,20,1,1,1,4,3,6,5,3,R&D,Sales Rep,Single,Other,Male,Travel_Rarely,2,0
39,4338,4,4,25,1,15,5,3,1,2,13,2,5,4,R&D,Manager,Married,Other,Male,Travel_Rarely,0,0
39,1466,1,4,22,0,14,7,4,1,2,3,4,3,1,R&D,Research Sci,Married,Marketing,Female,Travel_Frequently,3,0
47,3687,3,4,25,0,2,3,4,3,4,7,0,3,3,R&D,Healthcare Rep,Divorced,Marketing,Female,Travel_Rarely,2,0
55,2097,3,3,5,1,17,8,4,4,3,5,14,5,5,R&D,Sales Rep,Married,Medical,Male,Travel_Rarely,2,0
55,3799,1,4,5,0,22,7,4,3,2,6,2,1,1,Sales,HR,Married,HR,Male,Travel_Rarely,2,0
25,1000,2,2,7,0,26,6,2,3,2,8,7,4,5,Sales,Healthcare Rep,Single,Tech Degree,Female,Travel_Frequently,2,0
44,1000,2,2,23,0,8,6,2,2,4,14,8,2,4,HR,Healthcare Rep,Married,HR,Female,Travel_Rarely,3,0
44,1000,2,3,21,1,10,2,3,4,3,5,14,5,3,HR,Lab Tech,Single,Other,Female,Travel_Rarely,0,0
51,14052,1,3,18,0,26,5,3,2,3,2,9,3,1,R&D,HR,Married,HR,Female,Travel_Rarely,0,0
38,6600,2,4,36,0,18,4,4,1,3,14,1,4,3,R&D,Sales Exec,Divorced,Medical,Male,Travel_Rarely,2,0
47,1000,1,1,17,1,25,0,4,3,4,12,4,4,3,HR,Mfg Dir,Single,HR,Male,Travel_Rarely,0,0
50,1043,4,3,30,0,29,2,4,4,1,2,12,3,1,R&D,Manager,Single,Tech Degree,Female,Travel_Rarely,3,0
45,6562,4,3,36,0,19,0,3,1,1,10,10,4,3,R&D,Sales Exec,Married,Other,Female,Travel_Rarely,0,0
50,1000,1,4,29,1,8,3,4,4,2,2,0,4,3,R&D,Research Sci,Divorced,Life Sci,Female,Travel_Rarely,0,0
22,1336,3,4,32,1,28,9,1,3,2,11,14,3,2,R&D,Healthcare Rep,Married,Other,Female,Non-Travel,1,1
36,16531,4,3,9,1,8,2,3,4,2,9,15,0,2,R&D,Director,Single,Life Sci,Male,Travel_Rarely,0,0
21,1473,2,1,36,1,3,3,1,1,1,1,8,5,1,Sales,Healthcare Rep,Divorced,Tech Degree,Female,Travel_Rarely,0,0
52,5418,1,3,11,0,3,8,4,2,4,0,0,1,1,Sales,HR,Divorced,Other,Female,Travel_Rarely,2,0
34,19229,2,4,29,1,12,2,2,3,2,10,10,2,3,R&D,Lab Tech,Single,Other,Male,Travel_Rarely,2,0
45,2344,2,4,26,0,22,5,1,2,4,9,8,1,5,HR,Healthcare Rep,Divorced,Other,Female,Travel_Rarely,1,0
47,1000,3,3,38,0,17,5,3,3,2,0,10,0,1,R&D,Research Sci,Married,Other,Male,Non-Travel,3,0
46,1399,2,1,8,0,4,6,1,1,4,3,12,6,3,R&D,Healthcare Rep,Married,Medical,Male,Travel_Rarely,1,0
23,8885,3,3,20,0,17,8,3,3,4,2,1,0,5,Sales,Sales Exec,Married,Marketing,Male,Travel_Rarely,0,0
52,9997,4,3,11,1,14,6,4,2,1,4,13,4,2,Sales,Mfg Dir,Divorced,Other,Female,Non-Travel,0,0
58,7316,1,4,28,1,19,0,1,3,4,11,5,1,1,R&D,Director,Married,Medical,Male,Travel_Rarely,3,0
54,1000,2,1,32,0,9,7,2,1,3,8,7,0,3,R&D,Research Sci,Single,Tech Degree,Female,Travel_Rarely,3,0
41,7936,1,2,14,0,21,4,1,3,1,11,15,1,2,R&D,Research Sci,Divorced,Other,Female,Travel_Rarely,2,0
46,12546,2,1,1,0,12,8,2,2,2,12,11,0,4,Sales,HR,Single,HR,Male,Travel_Rarely,0,0
48,4589,1,3,38,1,5,9,3,1,1,7,10,2,2,HR,Research Sci,Married,Other,Male,Travel_Rarely,0,0
52,14140,2,3,17,0,11,4,4,2,3,11,5,0,3,R&D,Director,Married,Other,Male,Non-Travel,0,0
50,8767,2,3,2,0,20,4,4,3,3,8,2,1,5,R&D,Sales Exec,Single,Life Sci,Female,Non-Travel,0,0
38,5497,2,1,6,0,3,1,2,4,4,12,13,4,4,R&D,Mfg Dir,Single,HR,Female,Travel_Rarely,0,0
49,4304,2,4,17,0,21,2,3,2,3,4,1,1,4,Sales,Sales Rep,Divorced,Other,Male,Non-Travel,0,0
40,2142,2,3,37,0,15,9,4,3,3,7,10,3,4,R&D,Healthcare Rep,Married,Other,Female,Non-Travel,0,0
50,1000,2,3,36,1,14,8,3,4,3,3,2,1,1,R&D,Research Sci,Married,Other,Male,Travel_Frequently,0,0
20,4643,2,1,32,0,11,6,2,4,3,4,0,2,3,R&D,Lab Tech,Married,Medical,Female,Travel_Rarely,2,1
35,1914,2,2,30,0,20,0,2,1,2,14,0,5,4,R&D,Sales Exec,Married,Tech Degree,Female,Non-Travel,1,0
42,10065,2,2,10,0,8,2,1,4,2,11,11,2,2,Sales,Sales Rep,Married,Life Sci,Female,Travel_Frequently,0,1
59,20000,1,4,3,0,4,1,4,2,1,2,14,2,5,R&D,HR,Single,Other,Female,Non-Travel,2,0
48,6980,3,4,17,1,27,0,4,2,4,4,4,0,3,HR,Sales Exec,Married,Tech Degree,Male,Travel_Rarely,0,0
20,1000,2,3,3,0,12,8,1,4,2,11,5,2,2,Sales,Director,Divorced,Life Sci,Male,Non-Travel,3,0
57,1703,3,1,33,0,8,7,2,3,3,2,15,1,1,Sales,Healthcare Rep,Married,Life Sci,Male,Travel_Rarely,0,0
41,1000,2,3,28,0,6,4,2,2,4,4,11,5,4,HR,Sales Exec,Single,Life Sci,Female,Travel_Rarely,1,0
49,5256,2,4,23,0,15,1,2,2,2,10,11,6,2,Sales,Manager,Divorced,Other,Female,Travel_Rarely,2,0
39,7244,1,1,21,0,12,0,2,1,1,13,2,4,3,R&D,Healthcare Rep,Divorced,Medical,Male,Travel_Rarely,3,0
40,12996,4,1,1,0,16,6,3,3,3,4,1,6,2,R&D,Manager,Single,Other,Male,Travel_Rarely,3,0
19,2882,4,4,5,0,16,1,4,4,4,5,6,2,1,R&D,Research Sci,Divorced,Other,Male,Travel_Rarely,0,0
44,11582,1,2,24,0,27,0,4,3,2,8,1,1,5,R&D,Lab Tech,Married,Tech Degree,Female,Travel_Rarely,1,0
59,10514,3,2,20,0,21,1,2,1,4,0,6,0,4,Sales,Sales Exec,Single,Marketing,Male,Travel_Rarely,1,0
19,1907,4,1,15,0,20,6,2,1,2,11,10,0,3,Sales,Healthcare Rep,Single,Marketing,Male,Travel_Rarely,0,0
43,10158,1,3,30,0,20,6,2,3,1,9,10,4,4,R&D,HR,Married,Marketing,Male,Travel_Rarely,0,0
34,2355,1,2,13,0,28,9,4,1,3,13,13,4,4,R&D,Manager,Married,Tech Degree,Male,Travel_Rarely,2,0
57,1761,4,3,38,1,4,5,4,1,1,5,2,1,4,R&D,Mfg Dir,Single,HR,Male,Travel_Rarely,2,0
50,5235,3,2,27,1,11,4,2,1,3,0,13,4,2,R&D,Healthcare Rep,Single,Tech Degree,Male,Travel_Rarely,0,0
26,1990,1,2,31,0,13,2,3,3,3,5,10,4,2,Sales,Lab Tech,Single,Life Sci,Male,Travel_Rarely,0,0
56,4974,2,3,27,0,29,2,1,1,4,1,3,0,5,Sales,Sales Exec,Married,Other,Male,Travel_Frequently,3,0
46,4705,3,4,8,0,9,8,1,4,2,7,16,1,1,R&D,Healthcare Rep,Single,HR,Male,Travel_Rarely,1,0
59,4144,3,2,21,0,4,3,1,4,1,10,15,5,3,R&D,Sales Exec,Single,Life Sci,Female,Travel_Rarely,2,0
43,2393,4,2,31,1,12,8,4,2,1,2,2,4,2,R&D,Director,Married,Other,Male,Travel_Rarely,0,0
52,3975,4,3,4,0,9,3,4,4,1,9,9,1,4,Sales,Manager,Married,Other,Male,Travel_Rarely,0,0
42,4537,2,4,22,0,13,1,1,2,4,13,14,2,1,Sales,Healthcare Rep,Married,Life Sci,Male,Travel_Rarely,2,0
41,3944,1,2,4,1,16,3,1,3,4,5,7,0,3,R&D,Healthcare Rep,Married,Tech Degree,Female,Travel_Rarely,3,0
30,2938,4,2,31,1,26,5,3,1,4,5,2,5,3,R&D,Lab Tech,Married,Marketing,Female,Travel_Rarely,3,0
24,1000,4,4,9,0,6,5,4,4,3,14,6,0,3,HR,Lab Tech,Married,HR,Male,Travel_Rarely,0,0
53,4422,3,2,38,0,10,4,4,2,1,3,9,0,3,HR,HR,Divorced,Other,Female,Travel_Rarely,1,0
37,1000,4,4,14,0,13,0,1,3,3,4,8,3,5,HR,Sales Exec,Married,Medical,Female,Travel_Rarely,1,0
18,5144,4,4,6,0,7,2,3,2,1,1,13,1,3,HR,Sales Rep,Single,Other,Male,Travel_Rarely,0,0
25,7121,4,3,28,1,28,4,3,1,1,9,13,2,1,R&D,Lab Tech,Married,Marketing,Female,Travel_Rarely,2,0
33,3470,4,1,2,1,26,5,1,4,2,14,10,4,2,Sales,Sales Rep,Married,Other,Female,Travel_Rarely,1,0
31,3908,3,4,18,1,19,0,1,3,1,9,0,2,1,R&D,Research Sci,Married,Medical,Male,Travel_Rarely,2,0
29,15128,2,3,9,0,24,8,4,2,4,7,3,1,4,Sales,Sales Rep,Married,Tech Degree,Male,Travel_Frequently,2,0
40,9392,2,1,27,1,19,2,1,3,4,9,5,0,5,Sales,Manager,Divorced,Other,Female,Travel_Frequently,2,0
32,12280,1,2,28,0,17,9,2,2,4,6,4,3,5,Sales,Healthcare Rep,Married,HR,Male,Travel_Rarely,3,0
45,8403,4,1,14,0,13,2,3,2,2,9,2,1,4,R&D,Lab Tech,Married,Tech Degree,Male,Travel_Frequently,1,1
51,1000,3,4,34,0,13,1,1,1,2,5,1,5,1,R&D,Healthcare Rep,Divorced,Medical,Male,Non-Travel,3,0
19,1000,1,4,5,0,26,7,2,1,3,6,2,5,1,Sales,Director,Married,Life Sci,Female,Travel_Rarely,1,0
49,3739,1,4,11,1,28,2,3,2,1,11,8,1,4,R&D,Lab Tech,Married,Other,Male,Travel_Rarely,0,0
40,1412,2,4,37,0,21,5,2,4,1,0,16,4,3,HR,Lab Tech,Divorced,Tech Degree,Female,Travel_Rarely,2,0
39,3237,3,4,12,0,2,1,2,3,4,13,10,2,3,R&D,Mfg Dir,Single,Other,Female,Travel_Frequently,1,0
42,2507,3,3,28,0,10,6,1,3,4,13,11,2,2,HR,Healthcare Rep,Single,HR,Male,Travel_Rarely,1,0
39,3986,3,4,18,0,22,3,3,1,4,4,2,4,1,Sales,Lab Tech,Divorced,Other,Female,Travel_Rarely,0,0
39,6869,2,3,2,0,13,8,2,4,4,6,5,3,1,Sales,Director,Married,Tech Degree,Male,Non-Travel,3,0
59,6284,2,2,7,0,26,9,4,2,4,0,6,0,4,R&D,Director,Divorced,Marketing,Male,Non-Travel,1,0
23,3682,2,4,7,1,9,8,3,1,4,1,0,6,4,R&D,Manager,Single,Tech Degree,Male,Travel_Rarely,1,1
32,8640,2,4,19,0,1,6,4,2,1,8,5,6,3,R&D,Sales Exec,Married,Medical,Male,Travel_Rarely,3,0
54,2818,2,1,3,0,14,7,1,2,2,11,12,0,1,R&D,Lab Tech,Single,Tech Degree,Male,Travel_Rarely,3,0
50,11351,4,2,20,0,29,2,4,1,4,2,6,5,1,R&D,Director,Married,HR,Female,Travel_Rarely,1,0
25,1000,4,4,2,1,16,4,3,4,1,5,8,3,5,HR,Director,Single,Tech Degree,Female,Travel_Rarely,3,0
22,15467,3,4,7,0,20,1,2,3,4,14,2,4,2,R&D,Manager,Single,Tech Degree,Male,Non-Travel,0,0
56,5316,1,2,22,0,15,9,2,1,3,6,11,6,2,Sales,Mfg Dir,Single,HR,Female,Travel_Rarely,0,0
21,2390,3,3,15,0,1,6,3,4,3,8,7,1,3,R&D,Sales Exec,Married,Tech Degree,Female,Travel_Frequently,2,0
23,1097,1,4,12,0,17,7,2,2,1,4,8,2,1,Sales,HR,Married,HR,Female,Travel_Rarely,1,0
49,3261,2,1,2,0,24,8,4,1,2,3,12,1,5,Sales,Lab Tech,Single,Medical,Female,Travel_Rarely,0,0
47,1081,1,4,8,1,13,6,2,3,3,10,7,2,1,Sales,HR,Married,HR,Male,Travel_Rarely,0,0
52,1000,3,1,13,0,27,9,2,3,3,11,9,1,4,R&D,HR,Single,Medical,Male,Travel_Rarely,0,0
57,4803,3,1,12,0,15,9,4,2,2,14,16,4,3,Sales,Mfg Dir,Divorced,Medical,Male,Travel_Rarely,2,0
33,3702,1,4,6,1,16,7,4,1,3,1,6,4,2,Sales,Healthcare Rep,Married,HR,Female,Travel_Frequently,3,0
30,5544,4,4,14,0,16,8,4,3,4,2,16,3,1,R&D,Sales Rep,Married,Tech Degree,Female,Non-Travel,2,0
59,13268,2,1,6,0,2,5,1,1,2,14,1,1,3,R&D,Manager,Divorced,Other,Male,Travel_Frequently,2,0
47,3799,2,2,37,0,17,9,4,3,3,4,2,1,2,R&D,Director,Married,Marketing,Male,Travel_Frequently,2,0
36,4348,3,2,33,0,11,1,4,2,2,10,0,3,1,R&D,Director,Married,Other,Female,Travel_Rarely,2,0
34,1000,4,4,21,0,8,1,1,2,4,14,9,3,5,Sales,Sales Exec,Married,HR,Male,Travel_Rarely,1,0
36,6322,1,3,23,0,20,3,2,1,3,12,13,4,3,Sales,Mfg Dir,Divorced,Tech Degree,Female,Travel_Rarely,1,0
45,2553,2,2,36,1,3,8,4,4,1,1,12,4,1,Sales,Director,Single,Medical,Male,Travel_Rarely,0,0
43,18801,4,4,0,1,29,6,3,4,3,12,8,5,2,R&D,Sales Rep,Divorced,Life Sci,Male,Travel_Rarely,2,0
54,8662,2,2,9,0,12,1,4,2,3,3,5,1,2,R&D,HR,Divorced,Marketing,Female,Non-Travel,2,0
43,3695,4,3,15,0,20,7,4,3,4,0,5,4,5,Sales,Healthcare Rep,Married,Other,Male,Travel_Rarely,0,0
40,1000,4,4,7,0,16,6,1,4,1,3,9,6,3,R&D,Director,Married,Tech Degree,Male,Travel_Rarely,3,0
26,9809,3,3,24,1,14,8,3,2,1,6,2,4,3,HR,HR,Married,Marketing,Male,Non-Travel,1,0
29,8041,2,4,11,0,16,7,2,3,1,14,4,1,1,R&D,Director,Single,Life Sci,Male,Travel_Rarely,2,0
18,1020,1,3,24,0,27,2,2,3,4,13,10,3,2,R&D,Lab Tech,Single,Life Sci,Male,Travel_Rarely,3,0
18,1749,3,2,16,1,21,0,3,4,4,11,9,1,2,Sales,Research Sci,Divorced,Life Sci,Male,Travel_Rarely,3,0
51,7885,3,2,25,0,17,1,4,2,4,2,16,6,5,Sales,Manager,Married,Other,Female,Travel_Rarely,2,0
49,1024,1,3,13,1,11,1,1,3,4,9,3,0,5,R&D,Manager,Married,HR,Female,Travel_Rarely,2,1
42,12490,3,3,35,0,17,3,3,3,4,7,0,1,3,R&D,Director,Married,Marketing,Female,Travel_Rarely,3,0
57,2762,4,3,22,1,19,5,3,1,1,5,13,0,2,R&D,Sales Rep,Married,HR,Female,Travel_Rarely,1,0
18,1000,4,4,5,1,22,3,2,1,2,5,7,1,1,R&D,Mfg Dir,Single,Life Sci,Female,Travel_Rarely,1,1
33,8457,2,2,4,0,1,8,1,4,4,13,1,6,4,R&D,Sales Exec,Married,Tech Degree,Male,Travel_Rarely,2,0
56,2338,2,4,24,0,27,3,3,1,2,14,14,0,1,R&D,Sales Rep,Married,Life Sci,Male,Travel_Rarely,2,0
22,3738,1,2,17,0,12,5,1,2,3,0,1,0,5,Sales,Mfg Dir,Single,HR,Female,Travel_Rarely,0,0
39,1000,2,1,12,1,15,5,4,4,3,4,3,6,1,R&D,Sales Rep,Divorced,Life Sci,Male,Travel_Rarely,0,1
46,1000,4,4,13,0,18,9,2,4,4,2,0,1,2,HR,Lab Tech,Single,Life Sci,Male,Travel_Rarely,1,0
20,5080,1,2,27,0,28,9,4,1,3,14,9,5,3,R&D,Sales Rep,Married,HR,Male,Travel_Frequently,0,0
29,3619,1,2,17,0,23,0,1,3,2,9,0,4,4,R&D,Sales Exec,Single,HR,Male,Travel_Rarely,3,0
43,4501,2,4,27,0,14,7,4,2,3,14,14,2,3,R&D,Manager,Married,Tech Degree,Male,Travel_Rarely,3,0
33,7893,4,4,26,0,1,2,2,2,3,0,3,4,4,HR,Sales Rep,Married,HR,Female,Travel_Rarely,3,0
54,5200,1,2,31,0,13,5,1,2,2,7,6,0,4,R&D,Mfg Dir,Married,Tech Degree,Female,Travel_Rarely,3,0
39,1000,4,4,8,0,15,2,3,4,3,6,6,1,2,R&D,Healthcare Rep,Divorced,Medical,Male,Travel_Rarely,2,0
46,2237,4,3,39,1,7,1,4,2,4,6,12,1,2,R&D,Mfg Dir,Single,Medical,Female,Non-Travel,3,0
31,11816,4,4,31,0,15,4,2,3,2,11,9,1,5,R&D,Manager,Divorced,HR,Female,Travel_Rarely,1,0
45,7347,2,4,19,0,20,0,3,3,2,9,7,1,5,R&D,Sales Rep,Married,Life Sci,Female,Travel_Rarely,0,0
22,4066,3,4,27,1,10,8,2,1,1,13,9,5,4,R&D,Sales Rep,Divorced,Marketing,Female,Travel_Rarely,1,0
47,1476,3,2,32,0,14,6,1,2,1,9,13,2,5,R&D,Sales Rep,Married,Life Sci,Male,Non-Travel,2,0
22,1798,1,3,3,1,6,2,1,4,2,9,13,3,2,R&D,Director,Single,HR,Female,Travel_Rarely,0,1
29,6583,4,1,33,0,14,3,4,1,2,3,10,0,5,HR,Lab Tech,Single,Tech Degree,Male,Travel_Frequently,0,0
33,9524,2,1,2,0,24,5,2,3,1,12,5,2,4,HR,Sales Exec,Divorced,Life Sci,Female,Non-Travel,0,0
43,5564,4,3,25,0,25,2,2,2,4,14,0,4,3,Sales,Lab Tech,Divorced,Medical,Female,Travel_Rarely,3,0
